candidate_id,Godzina rozpoczęcia,Godzina ukończenia,Adres e-mail,"Potwierdzam, że zapoznałem(-am) się z powyższymi informacjami i przyjmuję je do wiadomości.","Czy wyrażasz zgodę na przetwarzanie danych osobowych w zakresie adresu mailowego w celu realizacji projektu badawczego pt. ""XPM: eXplainable Predictive Maintenance"" i archiwizacji, zgodnie z Rozporządzeniem Parlamentu Europejskiego i Rady (UE) 2016/679 z dnia 27 kwietnia 2016 r. (ogólne  rozporządzenie o ochronie danych) oraz zgodnie z klauzulą informacyjną dołączoną do Twojej zgody?",Czy wyrażasz zgodę na udział w badaniu (ankietowym)?,Jak oceniasz swoją wiedzę na temat dziko rosnących grzybów jadalnych i trujących?,Po czym głównie poznaje się dziko rosnące grzyby jadalne?,Po czym głównie poznaje się dziko rosnące grzyby trujące lub niejadalne?,Skąd pochodzi Twoja wiedza o grzybach dziko rosnących? ,Czy zdarza Ci się zbierać grzyby dziko rosnące?,"Nie mam oporów, by:","Jakie są Twoje umiejętności w zakresie wizualizacji danych, np. tworzenia wykresów, infografik itd.? (Zaznacz maksymalnie dwie odpowiedzi).",Jak oceniasz swoje umiejętności w zakresie analizy danych?,Skąd masz umiejętności w zakresie wizualizacji danych?,Jakie cechy powinna mieć Twoim zdaniem dobrze zrobiona wizualizacja danych?,"Czy na podstawie wykresu jesteś w stanie określić cechy, które najczęściej pojawiają się po jego prawej stronie i sugerują silny wpływ na klasyfikację grzyba jako trującego? Odpowiedz i podaj te cechy.","Czy patrząc na poniższą wizualizację, jesteś w stanie stwierdzić, jakie zmiany w cechach, według analizy kontrfaktycznej, mają największy wpływ na zmianę klasyfikacji grzyba z trującego na jadalny lub odwrotnie? Odpowiedz, opisując te zmiany.","Podaj nazwę kierunku(-ów) studiów, na którym(-ych) studiujesz:","Czy wyrażasz zgodę na udział w testowaniu technik XAI? Później możesz się wycofać, jeśli zmienisz zdanie. Badania przeprowadzane będą od 19 grudnia 2023 r. do 25 lutego 2024 r. na WZiKS UJ, w Instytucie Studiów Informacyjnych UJ. Jeśli wyrazisz wstępną zgodę, poprosimy Cię o podanie kontaktowego adresu mailowego, na który prześlemy formularz z możliwością zapisu na konkretny termin badania i godzinę. Dla uczestników badań jakościowych przewidziane są upominki",participant_id,comment
10,1.11.24 21:26:28,1.11.24 21:41:57,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Nisko.,"Po tym, że nie mają blaszek pod spodem ","Po tym, że mają blaszki pod spodem",Prawdopodobnie częściowo z domu i częściowo ze szkoły ,"Nie, nigdy.",Zjeść grzyby kupione w sklepie.;Zjeść grzyby zebrane przez członka rodziny lub bliskiego przyjaciela.;,Potrafię tworzyć proste wizualizacje.;Potrafię interpretować zaawansowane wizualizacje.;,Średnio.,Studia;,"Powinna być prosta, czytelna, zawierać jak najmniej tekstu","Cechy, które są zaznaczone kolorem różowym mają największy wpływ ","Największy wpływ ma typ hymenoforu, podstawa i powierzchnia trzonu oraz sposób przyrastania blaszek",Zarządzanie informacją ,Tak.,,
12,1.11.24 22:32:57,1.11.24 22:42:06,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Średnio.,"Po tym, że pod kapeluszem jest gąbeczka","Po tym, że pod kapeluszem jest blaszka",Od dziadków i z atlasu grzybów,"Tak, rzadko.","Zjeść grzyby kupione w sklepie.;Zjeść grzyby zebrane przez członka rodziny lub bliskiego przyjaciela.;Zjeść grzyby, które sam/sama zebrałam/em.;",Potrafię tworzyć zaawansowane wizualizacje.;Potrafię interpretować zaawansowane wizualizacje.;,Zdecydowanie wysoko.,Studia;Kursy;,"Odpowiadać potrzebom informacyjnym przedstawianego tematu, dopasowana do odbiorcy, środki wizualizacji powinny odpowiadać przedmiotowi wizualizacji",Są to pierwsze 3 odpowiedzi od góry,"grzyb ten jest trujący ze względu brak zmiany koloru/wypuszczenia mleczka po uszkodzeniu, gdyby był jadalny prawdopodobnie zmieniłby kolor/wypuścił mleczko, innym determinantem jest gładki trzon czy długi trzon",Zarządzanie Informacją,Tak.,,
13,1.12.24 8:06:06,1.12.24 8:09:55,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Zdecydowanie nisko.,Pod tym że pod daszkiem są pełne a nie mają blaszek ,Że pod daszkiem mają blaszki,Ze szkoły ,"Tak, rzadko.",Zjeść grzyby kupione w sklepie.;Zjeść grzyby zebrane przez członka rodziny lub bliskiego przyjaciela.;,Potrafię interpretować proste wizualizację.;Potrafię tworzyć proste wizualizacje.;,Średnio.,Studia;,Czytelna ,Wysokość trzonu ,Nie ,Zarządzanie informacją ,Tak.,,
14,1.12.24 10:27:34,1.12.24 10:35:41,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Zdecydowanie wysoko.,Po rurkach/gąbce oraz kolorze ,"Kształt, blaszki, kolor, czasami zapach","Przekazana od rodziny, z książek, od znajomych, z internetu ","Tak, często.","Zjeść grzyby zebrane przez członka rodziny lub bliskiego przyjaciela.;Zjeść grzyby kupione w sklepie.;Zjeść grzyby kupione na targu lub na stoisku przy drodze.;Zjeść grzyby, które sam/sama zebrałam/em.;",Potrafię tworzyć proste wizualizacje.;,Nie mam żadnych umiejętności w tym zakresie.,Studia;,"Czytelna, niechaotyczna",.,.,Zarządzanie informacją ,Nie.,,
15,1.12.24 10:23:06,1.12.24 10:49:47,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Zdecydowanie nisko.,Mają gąbczasty spód kapelusza bądź rurki ,Mają blaszki na spodzie kapelusza,Od rodziców,"Tak, rzadko.",Zjeść grzyby zebrane przez członka rodziny lub bliskiego przyjaciela.;,Potrafię tworzyć proste wizualizacje.;Potrafię interpretować proste wizualizację.;,Nisko.,Studia;,przedstawiać wszystkie niezbędne dane w sposób przejrzysty i możliwie atrakcyjny wizualnie,"wysokość trzonu, średnica kapelusza, szerokość trzonu, brak zmiany koloru lub puszczania mleczka w reakcji na uszkodzenie, gęstość blaszek","sposób przyrastania blaszek do trzonu - blaszki przyrośnięte występują w grzybach trujących, grzyby trujące mają szerszy trzon, bulwiastą podstawę trzonu i błyszczącą powierzchnię trzonu, typ hymenoforu - bez zasnówki",Zarządzanie informacją ,Nie.,,
17,1.12.24 13:38:49,1.12.24 13:55:48,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Nisko.,"Pomóc nam może kapelusz grzyba, jeśli jest pod nim gąbka, grzyb jest prawdopodobnie jadalny (nie sprawdza się to w każdym przypadku).","Grzyb można posmakować końcem języka, jeśli jest gorzki nie powinien być jedzony. Jeśli pod kapelusza grzyba są blaszki, grzyb jest prawdopodobnie trujący.","Przekazali mi ją dziadkowie, podstawowe informacje z biologii w gimnazjum","Nie, nigdy.",Nie chcę udzielać odpowiedzi.;,Nie potrafię interpretować wizualizacji.;Nie potrafię tworzyć wizualizacji.;,Średnio.,Praca;,Powinna być prosta i zrozumiała ,"Wysokość-trzonu-cm
średnica-kapelusza-cm
szerokość-trzonu-mm

",Nie,Elektroniczne Przetwarzanie Informacji,Nie.,,
18,1.12.24 13:59:07,1.12.24 14:02:46,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Zdecydowanie nisko.,"po spodzie, jeśli jest gąbkowy a nie blaszkowy, prawdopodobnie można zjeść danego grzyba ","jak wyżej - jeśli jest blaszkowany, jest trujący. to samo tyczy się dziwnych kolorów grzyba, lub gdy rośnie on na drzewie lub ścianie ","internet, znikome doświadczenie ze zbierania grzybów z innymi, bardziej doświadczonymi ","Nie, nigdy.",Zjeść grzyby kupione w sklepie.;Zjeść grzyby kupione na targu lub na stoisku przy drodze.;Zjeść grzyby zebrane przez członka rodziny lub bliskiego przyjaciela.;,Nie potrafię interpretować wizualizacji.;,Nie umiem ocenić.,Nie mam takich umiejętności.;,.,.,.,elektroniczne przetwarzanie informacji ,Tak.,,
19,1.12.24 14:36:45,1.12.24 14:43:49,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Nisko.,nie wiem,mają blaszki pod kapeluszem ,od dziadka ,"Nie, nigdy.",Zjeść grzyby kupione w sklepie.;Zjeść grzyby kupione na targu lub na stoisku przy drodze.;Zjeść grzyby zebrane przez członka rodziny lub bliskiego przyjaciela.;,Nie potrafię tworzyć wizualizacji.;Potrafię interpretować proste wizualizację.;,Średnio.,Studia;,być przejrzysta ,wysokość trzonu średnica kapelusza i zmienia kolor lub puszczą mleczko w reakcji na uszkodzenie nie zmienia koloru lub brak mleczka ,wszystko co jest zapisane pod modified value to cechy grzybów trujących ,psychologia ,Nie.,,
21,1.12.24 14:45:38,1.12.24 14:49:49,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Nisko.,Po gąbce,Po blaszce,Od rodziców ,"Tak, rzadko.","Zjeść grzyby kupione w sklepie.;Zjeść grzyby zebrane przez członka rodziny lub bliskiego przyjaciela.;Zjeść grzyby, które sam/sama zebrałam/em.;",Potrafię tworzyć proste wizualizacje.;Potrafię interpretować proste wizualizację.;,Nisko.,Studia;,"Czytelność, prostota","Wysokość trzonu, średnica kapelusza, szerokość trzonu ",Nie wiem co to analiza kontrfrakryczna,Psychologia,Tak.,,
22,1.12.24 14:42:38,1.12.24 14:50:33,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Średnio.,"Po blaszkach pod kapeluszem. Ja rozpoznaję po prostu tak, że mniej więcej wiem jak wyglądają grzyby jadalne, które zbieram i grzyby trujące.",Po blaszkach pod kapeluszem- są tak szerzej rozłozone. Ponadto po kształcie i pierścieniach na nodze,Z domu,"Tak, rzadko.","Zjeść grzyby kupione w sklepie.;Zjeść grzyby zebrane przez członka rodziny lub bliskiego przyjaciela.;Zjeść grzyby, które sam/sama zebrałam/em.;",Nie potrafię tworzyć wizualizacji.;Nie potrafię interpretować wizualizacji.;,Nisko.,Nie mam takich umiejętności.;,dobrze zrobiony i czytelny wykres,Nie jestem w stanie określić tego po tym wykresie,Z jadalnego na trujący: blaszki przystające do trzonu są przerośnięte; trzon ma większość szerokośc; podstawa trzonu jest bulwiasta i błyszcząca; hemenofor jest bez zasnówki,psychologia,Tak.,,
