candidate_id,Godzina rozpoczęcia,Godzina ukończenia,Adres e-mail,"Potwierdzam, że zapoznałem(-am) się z powyższymi informacjami i przyjmuję je do wiadomości.","Czy wyrażasz zgodę na przetwarzanie danych osobowych w zakresie adresu mailowego w celu realizacji projektu badawczego pt. ""XPM: eXplainable Predictive Maintenance"" i archiwizacji, zgodnie z Rozporządzeniem Parlamentu Europejskiego i Rady (UE) 2016/679 z dnia 27 kwietnia 2016 r. (ogólne  rozporządzenie o ochronie danych) oraz zgodnie z klauzulą informacyjną dołączoną do Twojej zgody?",Czy wyrażasz zgodę na udział w badaniu (ankietowym)?,Jak oceniasz swoją wiedzę na temat dziko rosnących grzybów jadalnych i trujących?,Po czym głównie poznaje się dziko rosnące grzyby jadalne?,Po czym głównie poznaje się dziko rosnące grzyby trujące lub niejadalne?,Skąd pochodzi Twoja wiedza o grzybach dziko rosnących? ,Czy zdarza Ci się zbierać grzyby dziko rosnące?,"Nie mam oporów, by:","Jakie są Twoje umiejętności w zakresie wizualizacji danych, np. tworzenia wykresów, infografik itd.? (Zaznacz maksymalnie dwie odpowiedzi).",Jak oceniasz swoje umiejętności w zakresie analizy danych?,Skąd masz umiejętności w zakresie wizualizacji danych?,Jakie cechy powinna mieć Twoim zdaniem dobrze zrobiona wizualizacja danych?,"Czy na podstawie wykresu jesteś w stanie określić cechy, które najczęściej pojawiają się po jego prawej stronie i sugerują silny wpływ na klasyfikację grzyba jako trującego? Odpowiedz i podaj te cechy.","Czy patrząc na poniższą wizualizację, jesteś w stanie stwierdzić, jakie zmiany w cechach, według analizy kontrfaktycznej, mają największy wpływ na zmianę klasyfikacji grzyba z trującego na jadalny lub odwrotnie? Odpowiedz, opisując te zmiany.","Podaj nazwę kierunku(-ów) studiów, na którym(-ych) studiujesz:","Czy wyrażasz zgodę na udział w testowaniu technik XAI? Później możesz się wycofać, jeśli zmienisz zdanie. Badania przeprowadzane będą od 19 grudnia 2023 r. do 25 lutego 2024 r. na WZiKS UJ, w Instytucie Studiów Informacyjnych UJ. Jeśli wyrazisz wstępną zgodę, poprosimy Cię o podanie kontaktowego adresu mailowego, na który prześlemy formularz z możliwością zapisu na konkretny termin badania i godzinę. Dla uczestników badań jakościowych przewidziane są upominki",participant_id,comment
25,1.12.24 14:51:12,1.12.24 14:51:54,anonymous,Potwierdzam.,Wyrażam zgodę.,Nie.,,,,,,,,,,,,,,,,
26,1.12.24 14:53:40,1.12.24 14:56:45,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Zdecydowanie nisko.,Gąbki pod kapeluszem,"Blaszki, kolor (jak u muchomora) ","Rodzice, dziadkowie","Nie, nigdy.","Zjeść grzyby kupione w sklepie.;Zjeść grzyby kupione na targu lub na stoisku przy drodze.;Zjeść grzyby zebrane przez członka rodziny lub bliskiego przyjaciela.;Zjeść grzyby, którymi częstuje mnie obca osoba.;",Potrafię tworzyć proste wizualizacje.;Potrafię interpretować proste wizualizację.;,Wysoko.,Studia;,Czytelna ,Wysokość trzonu ,Nie wiem,Psychologia praktyczna,Nie.,,
27,1.12.24 15:00:30,1.12.24 15:06:30,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Nie mam żadnej wiedzy na ten temat.,Nie wiem,Nie wiem,-,"Nie, nigdy.",Zjeść grzyby kupione w sklepie.;Zjeść grzyby kupione na targu lub na stoisku przy drodze.;Zjeść grzyby zebrane przez członka rodziny lub bliskiego przyjaciela.;,Potrafię tworzyć proste wizualizacje.;Potrafię interpretować proste wizualizację.;,Średnio.,Studia;,Czytelność,Nie jestem w stanie,Nie jestem w stanie,Psychologia,Tak.,,
28,1.12.24 15:08:47,1.12.24 15:14:23,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Zdecydowanie nisko.,Po wyglądzie,Po budowie,Od rodziny ,"Tak, rzadko.","Zjeść grzyby kupione w sklepie.;Zjeść grzyby kupione na targu lub na stoisku przy drodze.;Zjeść grzyby zebrane przez członka rodziny lub bliskiego przyjaciela.;Zjeść grzyby, którymi częstuje mnie obca osoba.;Zjeść grzyby, które sam/sama zebrałam/em.;",Potrafię tworzyć proste wizualizacje.;Potrafię interpretować proste wizualizację.;,Średnio.,Szkoła podstawowa;Studia;,Przejrzystość,"Zmienia kolor lub puszcza mleczko w reakcji na uszkodzenie, nie zmienia koloru lub brak mleczka średnica kapelusza, szerokość trzonu, średnica kapelusza ",nie potrafię,Psychologia,Tak.,,
31,1.13.24 5:22:23,1.13.24 5:29:59,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Nisko.,chyba po tym że pod kapeluszem mają gąbki a nie blaszki,żywe kolory i kropki na kapeluszu,od taty,"Tak, często.","Zjeść grzyby zebrane przez członka rodziny lub bliskiego przyjaciela.;Zjeść grzyby kupione w sklepie.;Zjeść grzyby, które sam/sama zebrałam/em.;",Potrafię interpretować zaawansowane wizualizacje.;Potrafię tworzyć proste wizualizacje.;,Średnio.,Studia;,powinna być czytelna i prosta,"Tak, wysokość trzonu, średnica kapelusza, szerokość trzonu",nie,Zarządzanie Informacją,Tak.,,
32,1.13.24 23:43:13,1.13.24 23:52:17,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Nisko.,Mają gąbkę pod czapa ,Mają blaszki pod czapą,Od dziadków i rodziców ,"Tak, rzadko.",Zjeść grzyby kupione w sklepie.;,Potrafię tworzyć proste wizualizacje.;Potrafię interpretować proste wizualizację.;,Nisko.,Studia;,Dobrze dobrane kolory i czytelna struktura,"Wysokość trzonu, brak mleczka",Nie,Zarządzanie informacją ,Nie.,,
33,1.14.24 22:31:57,1.14.24 22:39:06,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Nisko.,po rurkach pod kapeluszem ,po dziwnym zapachu i blaszkach ,Od rodziców i dziadków,"Nie, nigdy.",Zjeść grzyby zebrane przez członka rodziny lub bliskiego przyjaciela.;Zjeść grzyby kupione w sklepie.;,Potrafię tworzyć proste wizualizacje.;Potrafię interpretować proste wizualizację.;,Średnio.,Studia;Praca;,"czytelność, intucyjność","wysokość trzonu, średnica kapelusza, szerokość trzonu","sposób przystania blaszek do trzonu, szerokość trzonu, podstawa trzonu, powierzchnia trzonu, typ hymenoforu",Psychologia stosowana,Tak.,,
35,1.17.24 13:03:54,1.17.24 13:08:08,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Nisko.,po gładkim spodzie kapelusza grzyba ,po blaszkach na spodzie kapelusza ,z pokolenia na pokolenie,"Tak, rzadko.",Zjeść grzyby kupione w sklepie.;Zjeść grzyby zebrane przez członka rodziny lub bliskiego przyjaciela.;,Potrafię tworzyć proste wizualizacje.;Potrafię interpretować proste wizualizację.;,Średnio.,Studia;,"przejrzysta, czytelnia, wierna rzeczywistości ",bardzo nieczytelna jest ta grafika ,"nie, ponieważ tekst jest zbyt blisko siebie i jest monochromatyczny ",elektroniczne przetwarzanie informacji ,Tak.,,
36,1.17.24 14:58:53,1.17.24 15:03:18,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Zdecydowanie nisko.,"Blaszki, kolor",Kolor,Z życia,"Nie, nigdy.",Zjeść grzyby zebrane przez członka rodziny lub bliskiego przyjaciela.;Zjeść grzyby kupione w sklepie.;,Potrafię tworzyć proste wizualizacje.;,Średnio.,Studia;,.,.,.,Zarządzanie,Nie.,,
37,1.18.24 9:27:20,1.18.24 9:44:22,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Nie mam żadnej wiedzy na ten temat.,"Po strukturze pod kapeluszem - tzn ""gąbka""","Po strukturze pod kapeluszem - tzn ""blaszki""",Od rodziny,"Tak, rzadko.","Zjeść grzyby kupione w sklepie.;Zjeść grzyby kupione na targu lub na stoisku przy drodze.;Zjeść grzyby zebrane przez członka rodziny lub bliskiego przyjaciela.;Zjeść grzyby, które sam/sama zebrałam/em.;",Potrafię tworzyć proste wizualizacje.;Potrafię interpretować proste wizualizację.;,Wysoko.,Studia;,"Minimalizm, czytelność, przejrzystość","Nie, nie jestem a stanie. Na przedstawionym wykresie dolna legenda została ucięta.","Powołując się na własną wiedzę, nie jestem w stanie stwierdzić czy którąkolwiek z powyższych cech może określać jadalność grzyba.",FBU,Tak.,,
38,1.19.24 11:24:34,1.19.24 11:27:19,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Nie umiem ocenić.,rosną w lesie,gabka albo blaszki,ze szkoły,"Nie, nigdy.",Zjeść grzyby kupione w sklepie.;Zjeść grzyby kupione na targu lub na stoisku przy drodze.;,Nie potrafię tworzyć wizualizacji.;Nie potrafię interpretować wizualizacji.;,Średnio.,Nie mam takich umiejętności.;,być przejrzysta,nie jestem w stanie określić,nie,zarządzanie zakupami w biznesie,Tak.,,
39,1.22.24 10:29:39,1.22.24 10:44:05,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Nisko.,"Po ich blaszce od spodu, jeżeli mają struny takie jak pieczarka to są jadalne, oczywiście są też wyjątki jak na przykład kurki które blaszki nie mają ale są jadalne","Też po blaszce od spodu tam nie ma tej struny i pewnie po kolorze tak jak muchomor, im bardziej atrakcyjnie wygląda tym bardziej pewnie trujący ",Z liceum z lekcji biologii i z TikToka,"Nie, nigdy.",Zjeść grzyby kupione w sklepie.;Zjeść grzyby zebrane przez członka rodziny lub bliskiego przyjaciela.;,Potrafię interpretować zaawansowane wizualizacje.;Potrafię tworzyć proste wizualizacje.;,Nie umiem ocenić.,Praca;Studia;,"Powinna nie być długa, ani nie za krótka, jednak lepiej za krótka niż za dluga, powinna zabierać kolorowe obrazy ale nie za dużo i nie w różnych odcieniach, wszystko musi do siebie kolorystycznie pasować aby się nie gryzło i nie budziło niepokoju. Muszą być zawarte słowa kluczowe, najlepiej podkreślone albo pogrubione, dla osób które jak ja mają problem z wyłapywaniem najistotniejszych informacji. Dobrze zrobiona wizualizacja danych powinna być również poparta przykładami, najlepiej zabawnymi ale nie przesadzonymi, żeby łatwiej zapamiętać oraz na samym końcu powinny być przedstawione źródła do których się odniesiono, dla osób których temat bardziej zainteresował.","Wydaje mi się że są tu podane ogólne informacje na co zwracać uwagę przy wyborze grzybów, na końcu nazw podane są jednostki jak cm, gęste, rzadkie, mm, żółty, brak które wpływają na to czy fala od jednostki 0,0 idzie w lewo czy w prawo co ma wpływ na to czy grzyb może być prawdopodobnie trujący czy nie. Czerwony oznacza wysokie prawdopodobieństwo trującego niebieski nisko trującego ",-,Zarządzanie informacją ,Tak.,,
40,1.22.24 10:49:39,1.22.24 11:10:46,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Średnio.,"Po kolorze i kształcie blaszek, mają one zazwyczaj neutralne, bezowe kolory","Po kolorze i blaszkach lub ich braku, często zamiast blaszek ich spod jest gąbczasty",Z rodzinnych wypraw na grzyby,"Tak, rzadko.","Zjeść grzyby kupione w sklepie.;Zjeść grzyby zebrane przez członka rodziny lub bliskiego przyjaciela.;Zjeść grzyby, które sam/sama zebrałam/em.;",Potrafię tworzyć proste wizualizacje.;Potrafię interpretować proste wizualizację.;,Średnio.,Studia;,"Przejrzysta, zawiera kluczowe dane, zrozumiała, opisująca pokazane dane, co oznaczają","Nie zmienia koloru lub brak mleczka, wysokość trzonu, średnica kapelusza, szerokość trzonu","Na zmianę klasyfikacji grzyba wpływa sposób przyrastania blaszek (przyrosniete lub nie), szerokość trzonu, jego powierzchnia (gładka lub błyszcząca) oraz typ hymenoforu (zasnówka)",Zarządzanie informacją,Nie.,,
41,1.22.24 21:42:44,1.22.24 21:51:40,anonymous,Potwierdzam.,Nie wyrażam zgody.,Tak.,Nisko.,Gładki kapelusz ,Blaszki pod kapeluszem,"Od taty i od kolegii, boz atlasów ","Tak, rzadko.",Zjeść grzyby zebrane przez członka rodziny lub bliskiego przyjaciela.;,Potrafię interpretować proste wizualizację.;,Średnio.,Studia;,"Jasne przedstawia informacje, wykorzystane głównie hasła ",Szerokość trzonu i średnica kapelusza ,"Blaszki stają się przyrośnięte, trzon się poszerza, powierzchnia trzonu z gładkie staje się błyszcząca , hymor bez zastowki ",Psychologia stosowana ,Nie.,,
42,1.22.24 21:43:17,1.22.24 21:54:14,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Średnio.,"nie posiadają blaszek, gdy przekroi się je i położę to nie są gorzkie ","przeważnie blaszki pod kapeluszem, gorzkie po przekrojeniu i polizaniu","z przekazów grzybiarzy, książki-poradnik grzyby, czytanie i ogladanie filmów na temat grzybow w internecie","Tak, rzadko.","Zjeść grzyby kupione na targu lub na stoisku przy drodze.;Zjeść grzyby kupione w sklepie.;Zjeść grzyby, które sam/sama zebrałam/em.;",Potrafię interpretować proste wizualizację.;Potrafię tworzyć proste wizualizacje.;,Średnio.,Nie chcę udzielać odpowiedzi.;,"przejrzyście, równo , ma panować tam harmonia ",wysokość trzonu ,pass ,b,Nie.,,
45,1.24.24 9:52:50,1.24.24 10:15:06,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Zdecydowanie nisko.,"Po wyglądzie, zapachu i kształcie","Niektóre można poznać po wyglądzie, jednak niektóre z nich wygladaja identycznie jak jadalne. Dlatego trzeba być ostrożnym ","Głównie z Internetu, ponieważ sam nie interesuje się grzybami","Nie, nigdy.",Zjeść grzyby kupione w sklepie.;Zjeść grzyby zebrane przez członka rodziny lub bliskiego przyjaciela.;,Potrafię interpretować proste wizualizację.;Potrafię interpretować zaawansowane wizualizacje.;,Wysoko.,"Studia;Własne doświadczenia, tworzenie grafik;","Przejrzysta, estetyczna, czytelna, cel wizualizacji powinien być jasny","Wysokość trzonu, szerokość trzonu, zmienia kolor lub puszcza mleczko w reakcji na uszkodzenie, nie zmienia koloru lub brak mleczka, brak blaszek, sposób przyrastania blaszek do trzonu, gęstość blaszek, sposób przyrastania blaszek do trzonu","Zmiana koloru w reakcji na uszkodzenie, przyrośnięte blaszki do trzonu, podstawa trzonu bulwiasta, powierzchnia trzonu blyszczaca, typ hymenoforu bez zasnówki, szerokość trzonu 40mm",Zarządzanie Informacją,Nie.,,
46,1.24.24 11:26:10,1.24.24 11:38:42,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Zdecydowanie nisko.,Rosną w lesie i nie są czerwone,Są czerwone,Z bajki o muchomorze,"Nie, nigdy.",Zjeść grzyby kupione w sklepie.;Zjeść grzyby zebrane przez członka rodziny lub bliskiego przyjaciela.;,Potrafię tworzyć zaawansowane wizualizacje.;Potrafię interpretować zaawansowane wizualizacje.;,Zdecydowanie wysoko.,Studia;Praca;,Musi być czytelna,Raczej nie ,Raczej nie ,Zarządzanie w turystyce i w sporcie ,Tak.,,
47,1.25.24 13:18:15,1.25.24 13:27:32,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Zdecydowanie nisko.,po tym czy mają spód gąbeczkę,czy mają blaszki 😁,ze szkoły podstawowej ,"Nie, nigdy.",Zjeść grzyby kupione w sklepie.;Zjeść grzyby zebrane przez członka rodziny lub bliskiego przyjaciela.;,Nie potrafię tworzyć wizualizacji.;,Średnio.,Nie mam takich umiejętności.;,przejrzysta,nie jestem w stanie,nie jestem w stanie,filmoznawstwo ,Nie.,,
49,1.25.24 23:56:24,1.26.24 0:00:37,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Średnio.,Po kapeluszach (kolory) i czy mają gąbkę od spodu albo rureczki,Odp jak wyżej ,Z atlasu i wiedzy rodzinnej,"Tak, rzadko.",Zjeść grzyby kupione w sklepie.;Zjeść grzyby kupione na targu lub na stoisku przy drodze.;Zjeść grzyby zebrane przez członka rodziny lub bliskiego przyjaciela.;,Potrafię interpretować proste wizualizację.;,Średnio.,Nie mam takich umiejętności.;,Powinna być jasna i czytelna w odbiorze,Nie,Nie,Ochrona dóbr kultury ,Nie.,,
50,1.25.24 23:56:51,1.26.24 0:05:51,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Średnio.,nie wiem ,nie wiem,"z przekazu rodziny, w największej mierze dziadków ","Tak, rzadko.","Zjeść grzyby, które sam/sama zebrałam/em.;Zjeść grzyby, którymi częstuje mnie obca osoba.;Zjeść grzyby zebrane przez członka rodziny lub bliskiego przyjaciela.;Zjeść grzyby kupione na targu lub na stoisku przy drodze.;Zjeść grzyby kupione w sklepie.;",Potrafię tworzyć zaawansowane wizualizacje.;Potrafię interpretować zaawansowane wizualizacje.;,Wysoko.,Studia;Kursy;Praca;,powinna być przejrzysta tzn łatwa w odczycie dla każdego odbiorcy ,"tak, jest to wysokość trzonu w zakresie od 0.5 do 1.0 i wyżej oraz szerokość trzonu w zakresie do około 0.2 ",.,odk ,Nie.,,
51,1.26.24 9:05:07,1.26.24 9:08:38,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Nie mam żadnej wiedzy na ten temat.,Nie wiem,Nie wiem,Z nikąd,"Nie, nigdy.",Nie chcę udzielać odpowiedzi.;,Potrafię tworzyć proste wizualizacje.;Potrafię interpretować proste wizualizację.;,Średnio.,Studia;,"Prosta, łatwa w odbiorze ",Nie,Nie,Zarządzanie mediami i reklamą,Nie.,,
52,1.26.24 9:04:47,1.26.24 9:11:35,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Zdecydowanie nisko.,Chyba po ilości kresek od spodu tego daszku,Tym że są czerwone z kropkami,Tego co kiedyś uslyszalam badz widzialam,"Nie, nigdy.",Zjeść grzyby zebrane przez członka rodziny lub bliskiego przyjaciela.;Zjeść grzyby kupione na targu lub na stoisku przy drodze.;Zjeść grzyby kupione w sklepie.;,Potrafię interpretować zaawansowane wizualizacje.;Potrafię tworzyć proste wizualizacje.;,Wysoko.,Studia;,Być przejrzysta i w kolorze," Gęstość blaszek, zmienia kolor, wysokość trzonu, średnica kapelusza, szerokość trzonu, ","Sposób przyrastania trzonu, szerokość trzonu, podstawa trzonu, powierzchnia trzonu  typ hymenoforu",Zarzadzanie kultura I mediami ,Tak.,,
53,1.26.24 9:07:28,1.26.24 9:11:43,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Średnio.,Po gąbczastej strukturze spodu grzyba,Po strunowej strukturze spodu grzyba ,"Że szkoły podstawowej, z Internetu ","Tak, rzadko.","Zjeść grzyby kupione w sklepie.;Zjeść grzyby kupione na targu lub na stoisku przy drodze.;Zjeść grzyby zebrane przez członka rodziny lub bliskiego przyjaciela.;Zjeść grzyby, które sam/sama zebrałam/em.;",Potrafię tworzyć proste wizualizacje.;Potrafię interpretować proste wizualizację.;,Nisko.,Nie mam takich umiejętności.;,"Przejrzystość w przedstawionych informacjach, jak najprostsze przedstawienie danych ",Nie ,Nie ,Zarządzanie mediami i reklamą ,Nie.,,
55,1.26.24 12:07:47,1.26.24 12:41:43,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Średnio.,"Większość grzybów jadalnych pod kapeluszem na rurki, tylko część blaszki. Jadalność można poznać też po odpowiednim wyglądzie (wielkości, kolorze), zapachu, konsystencji grzyba charakterystycznych dla danego gatunku.","Po blaszkach pod kapeluszem (w większości przypadków), charakterystycznym kolorze, czy elementach, które często mają za zadanie odstraszać (jak np. muchomory: czerwony kolor kapelusza z białymi kropkami lub kolor zielony) i innych cechach charakterystycznych dla danego gatunku - wielkości, kolorze, zapachu, konsystencji.","Z tzw. wiedzy ogólnej: od rodziny, znajomych, z internetu.","Nie, nigdy.",Zjeść grzyby kupione w sklepie.;Zjeść grzyby kupione na targu lub na stoisku przy drodze.;Zjeść grzyby zebrane przez członka rodziny lub bliskiego przyjaciela.;,Potrafię tworzyć zaawansowane wizualizacje.;Potrafię interpretować zaawansowane wizualizacje.;,Wysoko.,Studia;,"Powinna być przejrzysta, mieć wyraźnie, niezlewające się ze sobą kolory (lub odcienie szarości) i jasny opis/legendę.","Wydaje mi się, że jestem w stanie określić - będą to cechy, których SHAP value jest wyższą niż 0: wysokość trzonu cm, średnica kapelusza cm, szerokość trzonu mm.","Największy wpływ na zmianę klasyfikacji grzyba mają wartości oznaczone ""*"" oraz opatrzone komentarzem w kolumnie ""modified value"": sposób przyrastania blaszek do trzonu, szerokość trzonu, podstawa trzonu, powierzchnia trzonu, typ hymenoforu.",zarządzanie kulturą współczesną,Tak.,,
56,1.26.24 12:47:52,1.26.24 14:37:40,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Zdecydowanie nisko.,"Brak białych kropkach na grzybie, spód jest gąbczasty ",Białe kropki na grzybie,"Z domu, z usłyszanych rozmów dziadków ","Nie, nigdy.",Zjeść grzyby kupione w sklepie.;Zjeść grzyby zebrane przez członka rodziny lub bliskiego przyjaciela.;,Potrafię tworzyć proste wizualizacje.;Potrafię interpretować proste wizualizację.;,Średnio.,Studia;,"Prostota danych i ich czytelność, wyraźnie podane czynniki ",Nie,Nie,Zarządzanie organizacjami kultury ,Tak.,,
57,1.26.24 14:39:09,1.26.24 14:42:02,anonymous,Potwierdzam.,Nie wyrażam zgody.,Tak.,Nie umiem ocenić.,Kolor,Mają coś typu pleśń ,Ze szkoły ,"Nie, nigdy.",Zjeść grzyby kupione w sklepie.;Zjeść grzyby kupione na targu lub na stoisku przy drodze.;,Nie potrafię interpretować wizualizacji.;,Zdecydowanie nisko.,Nie mam takich umiejętności.;,Spójność ,Nie jestem w stanie ,Nie jestem w stanie ,Filologia hiszpańska ,Nie.,,
58,1.26.24 15:15:05,1.26.24 15:22:33,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Nisko.,nie wiem,nie wiem,od rodziny,"Nie, nigdy.",Zjeść grzyby kupione w sklepie.;,Potrafię interpretować proste wizualizację.;,Nisko.,Nie mam takich umiejętności.;,"czytelność, przejrzystość","wysokosc trzonu, szerokosc trzonu, srednica kapelusza",nie wiem,Filologia Hiszpańska ,Nie.,,
59,1.26.24 15:18:24,1.26.24 15:24:28,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Zdecydowanie nisko.,nie mają blaszki pod spodem,mają blaszki pod spodem,rodzice,"Nie, nigdy.",Zjeść grzyby kupione w sklepie.;Zjeść grzyby zebrane przez członka rodziny lub bliskiego przyjaciela.;,Nie potrafię tworzyć wizualizacji.;Nie potrafię interpretować wizualizacji.;,Nie mam żadnych umiejętności w tym zakresie.,Nie mam takich umiejętności.;,nie wiem,nie,nie,filologia hiszpańska,Nie.,,
60,1.26.24 15:15:46,1.26.24 15:31:55,anonymous,Potwierdzam.,Nie wyrażam zgody.,Tak.,Nisko.,"Po wyglądzie, kolorze, strukturze ",Wygląd,Od innych osób ,"Nie, nigdy.",Zjeść grzyby zebrane przez członka rodziny lub bliskiego przyjaciela.;Zjeść grzyby kupione w sklepie.;,Potrafię interpretować proste wizualizację.;Potrafię tworzyć proste wizualizacje.;,Nie umiem ocenić.,Nie chcę udzielać odpowiedzi.;,"Czytelność, przejrzystość, prostota ",Chyba nie ,"Sposób przyrastania blaszki do trzonu, wygląd trzonu ",Filologia hiszpańska ,Nie.,,
61,1.26.24 17:10:48,1.26.24 17:13:40,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Zdecydowanie nisko.,Nie wiem,Nie wiem,Nie mam,"Nie, nigdy.",Zjeść grzyby zebrane przez członka rodziny lub bliskiego przyjaciela.;Zjeść grzyby kupione w sklepie.;Zjeść grzyby kupione na targu lub na stoisku przy drodze.;,Potrafię tworzyć proste wizualizacje.;Potrafię interpretować proste wizualizację.;,Nie mam żadnych umiejętności w tym zakresie.,Nie mam takich umiejętności.;,"Czytelna, prosta.",Zdecydowanie nie,Nie jestem w stanie,filologia hiszpańska,Tak.,,
62,1.26.24 18:35:21,1.26.24 18:48:26,anonymous,Potwierdzam.,Nie wyrażam zgody.,Tak.,Zdecydowanie nisko.,Nie wiem.,Po kolorze,"Nie posiadam takiej wiedzy, ewentualnie znikomą z podręczników do biologii na wczesnych etapach edukacji.","Nie, nigdy.",Zjeść grzyby kupione w sklepie.;Zjeść grzyby kupione na targu lub na stoisku przy drodze.;Zjeść grzyby zebrane przez członka rodziny lub bliskiego przyjaciela.;,Potrafię interpretować zaawansowane wizualizacje.;Potrafię tworzyć proste wizualizacje.;,Średnio.,"edukacja licealna, samodzielne dokształcanie na stronach internetowych;","przejrzystość (poprzez kolory, kształty, rozmieszczenie), odpowiednia ilość danych (brak natłoku informacji), estetyczność i schludność, poprawność merytoryczna","wysokość trzonu, średnica kapelusza","przyrośnięcie blaszek do trzonu, bulwiasta podstawa trzonu, błyszcząca powierzchnia trzonu, typ hymenoforu bez zasnówki - żaden z obu wykresów nie jest dla mnie zbyt jasny i czytelny, zwłaszcza ten powyższy",Filologia hiszpańska,Nie.,,
63,1.26.24 21:07:04,1.26.24 21:13:44,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Zdecydowanie nisko.,nie wiem,nie wiem ,nie mam takiej wiedzy,"Nie, nigdy.",Zjeść grzyby kupione w sklepie.;Zjeść grzyby zebrane przez członka rodziny lub bliskiego przyjaciela.;,Potrafię tworzyć proste wizualizacje.;Potrafię interpretować proste wizualizację.;,Wysoko.,Studia;,"czytelność, estetyka, brak przesycenia zbędnymi infrmacjami, związek rafiki z opiywanym tematem","nie, ciężko strasznie odczytać, nie chce mi się wkładać aż tyle wysiłku żeby to rozczytać, zajeło by to dużo czasu, poza tym drażnią mnie ""-"" pomiędzy słowami","to nie jest wizualizacja! to dala mnie tekst chaotycznie zapisany nieprzyjemną, udającą ""maszynową"" czcionkę ",Zarządzanie informacją ,Nie.,,
65,1.26.24 23:34:52,1.26.24 23:42:46,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Zdecydowanie nisko.,Po rodzaju spodu grzyba.,Po rodzaju spodu grzyba.,Nie posiadam takiej wiedzy. Nigdy mnie to nie interesowało.,"Nie, nigdy.",Zjeść grzyby kupione w sklepie.;,Nie potrafię tworzyć wizualizacji.;Potrafię interpretować proste wizualizację.;,Nie mam żadnych umiejętności w tym zakresie.,Nie mam takich umiejętności.;,Powinna być przejrzysta i czytelna.,Nie potrafię.,"Największy wpływ mają zmiany w sposobie przyrastania blaszek do trzonu, jego szerokości, zmian w podstawie i na powierzchni oraz typ hymenoforu.",Filologia hiszpańska ,Nie.,,
66,1.27.24 15:13:14,1.27.24 15:22:29,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Nie umiem ocenić.,"Czy mają blaszki czy sitko, ale zdarzają się też grzyby trujące podobne do jadalnych i odwrotnie ",Najczęściej są nie ruszone przez zwierzęta ,"Nie jestem pewna, z dzieciństwa z książek, z gry o grzybach, opowieści rodziny","Tak, rzadko.",Zjeść grzyby kupione w sklepie.;,Potrafię tworzyć proste wizualizacje.;Potrafię interpretować zaawansowane wizualizacje.;,Wysoko.,Studia;Praca;,"Powinna być czytelna, w miarę łatwa do zrozumienia ","Duża wysokość trzonu, duża średnica kapelusza i żółty kolor kapelusza","Średnica kapelusza, sposób przyrastania blaszek",Dziennikarstwo i komunikacja społeczna ,Tak.,,
67,1.28.24 18:10:35,1.28.24 18:50:38,anonymous,Potwierdzam.,Wyrażam zgodę.,Tak.,Zdecydowanie nisko.,są często nadjedzone przez robaki lub ślimaki,często mają specyficzne kolory,od znajomej,"Tak, rzadko.",Zjeść grzyby kupione w sklepie.;,Potrafię tworzyć proste wizualizacje.;Potrafię interpretować proste wizualizację.;,Nie umiem ocenić.,Studia;,"czytelna, przekazująca wszystkie potrzebne informacje, reprezentatywna dla problemu",wysokość trzonu cm,"sposób przyrastania blaszek do trzonu, podstawa trzonu, typ hymenoforu",Filmoznawstwo i wiedza o nowych mediach,Nie.,,
